BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
SMAL,2024-02-07,Сбербанк,SBER,23,18799.0,277.15,277.15,284.8,,282.05,284.8,67,,,,0.0,0.0,,0,3,SUR,2.63
TQBR,2024-02-07,Сбербанк,SBER,94002,12797141132.2,278.82,278.81,284.5,282.22,282.05,284.41,45372390,281.86,281.86,,11183128746.0,11183128746.0,,0,3,SUR,2.06
SMAL,2024-02-08,Сбербанк,SBER,43,41106.19,285.0,281.21,286.0,,283.7,285.1,145,,,,0.0,0.0,,0,3,SUR,0.11
TQBR,2024-02-08,Сбербанк,SBER,102295,12521153866.4,284.52,281.25,286.24,282.82,283.7,282.17,44132450,283.94,283.94,,10680428250.5,10680428250.5,,0,3,SUR,-0.79
SMAL,2024-02-09,Сбербанк,SBER,26,26261.73,283.5,278.5,284.99,,283.05,283.5,93,,,,0.0,0.0,,0,3,SUR,-0.56
TQBR,2024-02-09,Сбербанк,SBER,72289,6900413037.7,282.17,281.5,284.0,283.6,283.05,283.5,24378920,283.02,283.02,,6129947831.8,6129947831.8,,0,3,SUR,0.47
SMAL,2024-02-12,Сбербанк,SBER,32,33074.35,282.99,282.98,287.63,,286.02,287.63,116,,,,0.0,0.0,,0,3,SUR,1.46
TQBR,2024-02-12,Сбербанк,SBER,89808,9693906269.9,283.66,283.5,287.84,287.75,286.02,287.28,33890070,285.92,285.92,,8902963475.1,8902963475.1,,0,3,SUR,1.33
SMAL,2024-02-13,Сбербанк,SBER,34,34961.68,289.49,285.05,289.49,,287.05,288.0,122,,,,0.0,0.0,,0,3,SUR,0.13
TQBR,2024-02-13,Сбербанк,SBER,70460,9560948260.2,287.52,285.4,289.0,287.49,287.05,287.07,33307500,287.05,287.05,,8762403405.1,8762403405.1,,0,3,SUR,-0.07
SMAL,2024-02-14,Сбербанк,SBER,21,21336.47,291.11,286.04,291.11,,289.26,288.03,74,,,,0.0,0.0,,0,3,SUR,0.01
TQBR,2024-02-14,Сбербанк,SBER,84358,10376406284.2,287.07,286.84,290.6,289.7,289.26,289.06,35874260,289.27,289.27,,9342922520.5,9342922520.5,,0,3,SUR,0.69
SMAL,2024-02-15,Сбербанк,SBER,16,15598.88,289.88,287.68,290.97,,289.1,290.97,54,,,,0.0,0.0,,0,3,SUR,1.02
TQBR,2024-02-15,Сбербанк,SBER,66227,7491686110.6,289.3,287.63,290.45,290.0,289.1,290.24,25912290,289.01,289.01,,6681372723.8,6681372723.8,,0,3,SUR,0.41
SMAL,2024-02-16,Сбербанк,SBER,38,33026.55,291.11,286.51,292.0,,289.27,290.42,114,,,,0.0,0.0,,0,3,SUR,-0.19
TQBR,2024-02-16,Сбербанк,SBER,103238,15460455301.4,290.47,286.25,292.3,288.0,289.27,288.33,53446950,289.39,289.39,,13874571027.6,13874571027.6,,0,3,SUR,-0.66
SMAL,2024-02-19,Сбербанк,SBER,33,28849.04,291.99,286.77,291.99,,289.0,290.0,100,,,,0.0,0.0,,0,3,SUR,-0.14
TQBR,2024-02-19,Сбербанк,SBER,65730,7030472390.0,288.51,287.07,289.98,289.0,289.0,288.93,24327480,288.97,288.97,,6433605734.2,6433605734.2,,0,3,SUR,0.21
SMAL,2024-02-20,Сбербанк,SBER,26,26981.08,287.61,285.66,288.39,,286.48,285.68,94,,,,0.0,0.0,,0,3,SUR,-1.49
TQBR,2024-02-20,Сбербанк,SBER,104220,12882360699.8,289.2,283.29,289.28,287.17,286.48,283.9,44972610,287.48,287.48,,8116226991.4,8116226991.4,,0,3,SUR,-1.74
SMAL,2024-02-21,Сбербанк,SBER,29,30496.84,284.73,279.57,285.6,,282.78,281.14,108,,,,0.0,0.0,,0,3,SUR,-1.59
TQBR,2024-02-21,Сбербанк,SBER,100171,13832083001.2,283.9,280.2,285.28,281.55,282.78,282.0,48915360,282.92,282.92,,12465745553.6,12465745553.6,,0,3,SUR,-0.67
SMAL,2024-02-22,Сбербанк,SBER,20,22645.9,282.51,282.03,284.49,,283.51,284.49,80,,,,0.0,0.0,,0,3,SUR,1.19
TQBR,2024-02-22,Сбербанк,SBER,53972,7137276375.2,282.1,282.1,285.05,282.74,283.51,284.77,25175120,283.44,283.44,,5879216164.8,5879216164.8,,0,3,SUR,0.98
SMAL,2024-02-26,Сбербанк,SBER,36,36582.29,282.0,282.0,290.96,,289.39,289.25,127,,,,0.0,0.0,,0,3,SUR,1.67
TQBR,2024-02-26,Сбербанк,SBER,107862,12435377754.3,288.52,287.0,291.3,290.7,289.39,291.25,42969530,289.15,289.15,,10684619007.5,10684619007.5,,0,3,SUR,2.28
SMAL,2024-02-27,Сбербанк,SBER,35,36605.14,291.1,289.66,293.1,,291.89,293.09,126,,,,0.0,0.0,,0,3,SUR,1.33
TQBR,2024-02-27,Сбербанк,SBER,70723,9488019001.0,291.35,290.55,293.0,292.52,291.89,292.52,32504830,291.82,291.82,,8471954142.0,8471954142.0,,0,3,SUR,0.44
SMAL,2024-02-28,Сбербанк,SBER,30,24806.82,293.56,289.75,294.59,,292.38,289.75,85,,,,0.0,0.0,,0,3,SUR,-1.14
TQBR,2024-02-28,Сбербанк,SBER,101828,14423329993.4,292.6,289.75,293.95,292.81,292.38,291.75,49330680,292.42,292.42,,13395440007.8,13395440007.8,,0,3,SUR,-0.26
SMAL,2024-02-29,Сбербанк,SBER,17,21901.39,294.19,291.11,294.19,,292.48,292.21,75,,,,0.0,0.0,,0,3,SUR,0.85
TQBR,2024-02-29,Сбербанк,SBER,50531,6562891480.7,292.31,291.3,293.2,293.0,292.48,292.19,22436940,292.5,292.5,,5509450425.3,5509450425.3,,0,3,SUR,0.15
SMAL,2024-03-01,Сбербанк,SBER,37,40348.89,294.49,290.43,296.58,,293.78,296.58,138,,,,0.0,0.0,,0,3,SUR,1.5
TQBR,2024-03-01,Сбербанк,SBER,60691,7970692143.2,292.2,292.2,295.88,294.44,293.78,295.38,27129280,293.43,293.43,,6117845649.7,6117845649.7,,0,3,SUR,1.09
SMAL,2024-03-04,Сбербанк,SBER,46,28842.93,296.61,293.46,299.98,,298.1,298.14,97,,,,0.0,0.0,,0,3,SUR,0.53
TQBR,2024-03-04,Сбербанк,SBER,108656,12107585572.0,295.87,295.8,299.5,298.97,298.1,299.17,40609910,298.06,298.06,,11069720301.9,11069720301.9,,0,3,SUR,1.28
SMAL,2024-03-05,Сбербанк,SBER,55,42019.01,299.85,296.24,300.0,,299.07,299.99,141,,,,0.0,0.0,,0,3,SUR,0.62
TQBR,2024-03-05,Сбербанк,SBER,103489,12488922816.8,299.33,297.57,300.41,298.7,299.07,298.4,41756340,299.14,299.14,,11454098232.1,11454098232.1,,0,3,SUR,-0.26
SMAL,2024-03-06,Сбербанк,SBER,29,25279.41,299.98,295.6,299.98,,298.16,297.58,85,,,,0.0,0.0,,0,3,SUR,-0.8
TQBR,2024-03-06,Сбербанк,SBER,39646,5293866478.8,298.2,296.82,299.33,298.15,298.16,297.71,17756170,298.16,298.16,,4707375353.6,4707375353.6,,0,3,SUR,-0.23
SMAL,2024-03-07,Сбербанк,SBER,25,19678.62,298.49,297.51,299.5,,298.84,299.5,66,,,,0.0,0.0,,0,3,SUR,0.65
TQBR,2024-03-07,Сбербанк,SBER,59590,6570159861.5,297.72,297.24,300.58,299.38,298.84,300.4,21982790,298.62,298.62,,4967156582.4,4967156582.4,,0,3,SUR,0.9
SMAL,2024-03-11,Сбербанк,SBER,56,41675.77,300.0,298.64,305.95,,300.94,301.72,139,,,,0.0,0.0,,0,3,SUR,0.74
TQBR,2024-03-11,Сбербанк,SBER,102432,12573478353.0,301.0,298.5,302.95,300.05,300.94,299.79,41781940,301.03,301.03,,11400838834.1,11400838834.1,,0,3,SUR,-0.2
SMAL,2024-03-12,Сбербанк,SBER,19,19690.26,297.26,297.26,300.37,,299.47,300.37,66,,,,0.0,0.0,,0,3,SUR,-0.45
TQBR,2024-03-12,Сбербанк,SBER,78940,8607354015.3,299.6,297.34,301.07,300.4,299.47,300.9,28743980,299.28,299.28,,7645297424.4,7645297424.4,,0,3,SUR,0.37
SMAL,2024-03-13,Сбербанк,SBER,26,29051.52,299.29,298.23,301.45,,299.95,299.22,97,,,,0.0,0.0,,0,3,SUR,-0.38
TQBR,2024-03-13,Сбербанк,SBER,53415,7202085490.6,301.2,298.7,301.49,300.1,299.95,298.85,24012100,300.05,300.05,,6125283309.1,6125283309.1,,0,3,SUR,-0.68
SMAL,2024-03-14,Сбербанк,SBER,28,15115.29,295.0,294.94,302.05,,296.75,294.94,51,,,,0.0,0.0,,0,3,SUR,-1.43
TQBR,2024-03-14,Сбербанк,SBER,113580,12524056211.8,298.5,295.14,298.7,296.28,296.75,295.83,42205930,296.79,296.79,,11568603448.0,11568603448.0,,0,3,SUR,-1.01
